,Time,Upper,Under
30,2022-08-11 10:27:30+00:00,,
34,2022-08-11 10:28:30+00:00,,
38,2022-08-11 10:29:30+00:00,,
42,2022-08-11 10:30:30+00:00,,
46,2022-08-11 10:31:30+00:00,,
50,2022-08-11 10:32:30+00:00,,
54,2022-08-11 10:33:30+00:00,284.9769069621563,284.4669069621563
58,2022-08-11 10:34:30+00:00,284.96090696215634,284.43090696215637
61,2022-08-11 10:35:30+00:00,284.9239069621563,284.3779069621564
64,2022-08-11 10:36:30+00:00,284.8979069621563,284.36190696215635
67,2022-08-11 10:37:30+00:00,284.88690696215633,284.35290696215634
70,2022-08-11 10:38:30+00:00,284.8369069621563,284.28690696215637
73,2022-08-11 10:39:30+00:00,284.7699069621563,284.2479069621564
76,2022-08-11 10:40:30+00:00,284.73790696215633,284.24190696215635
